s1,s2,frac_Gd,sus
914967,9,0.018803,0.08355304796080705
893894,8,0.036967,0.08979235394841091
872561,8,0.05523,0.09687754691618065
851378,9,0.073023,0.10488609749756467
830627,10,0.090398,0.11334517734129872
809748,9,0.107754,0.12220396617076457
789472,9,0.124564,0.13144535979786073
769225,9,0.141289,0.14103930193045158
749444,9,0.157652,0.15064557641259907
729805,9,0.173719,0.16170527943883498
709811,10,0.189794,0.17444822674727167
690253,12,0.205499,0.18759699484330417
670976,12,0.22099,0.20178945071308454
651904,13,0.236155,0.21736216117144186
632734,13,0.251163,0.2342499101940743
614153,13,0.26564,0.25189688980881314
595439,13,0.280153,0.2715966031670619
576713,14,0.294496,0.2929352633011294
558527,15,0.308335,0.3157366644256974
540242,21,0.322087,0.3404669920771544
521934,24,0.335616,0.3688077979000096
503924,24,0.348887,0.39858058432253696
485842,24,0.361934,0.4326668401074497
467781,24,0.374622,0.47363514546402335
449736,31,0.387382,0.5169942770209168
431867,31,0.399828,0.5656795052085068
414392,31,0.411976,0.6158830251826456
397466,30,0.423741,0.6673960840524833
380349,35,0.435498,0.7260789155751441
363576,35,0.447217,0.7836872696881054
346912,37,0.458563,0.838924934941646
330361,35,0.469489,0.9103185419340974
313101,51,0.480426,1.015926509024701
297315,48,0.490993,1.1009907525829703
280440,94,0.50165,1.2312511287247918
264251,56,0.511944,1.3573872670349305
248579,56,0.521913,1.4887415888739917
231768,85,0.531792,1.7409698253767556
216196,83,0.541489,1.9027744154447768
201126,83,0.551172,2.0597689983690857
185052,97,0.560401,2.3251486013389475
169763,84,0.569566,2.62572426899362
153807,103,0.578665,3.0032776769079237
137393,166,0.58749,3.6134808853118714
121582,174,0.596122,4.350878235506762
106909,188,0.604495,4.9404533444583505
90717,213,0.612819,6.044470157368259
74856,313,0.620915,7.756073176200588
59087,652,0.628931,11.019546229946451
43283,580,0.636821,14.652306438422926
30401,851,0.644534,18.087516105619102
17520,1057,0.652051,24.3219408591489
3853,1722,0.659432,44.7423216508891
1928,1025,0.666671,26.902060726789447
750,688,0.673734,18.61216921162487
625,467,0.680579,13.5732528543834
337,334,0.687498,10.919472515375901
309,250,0.694107,9.01555772770217
251,200,0.700634,7.817083436328775
189,182,0.706883,6.990382679953739
184,182,0.71312,6.275020914668154
173,141,0.719207,5.591813186226152
113,105,0.725255,5.139755045587727
105,102,0.730996,4.79967212383459
96,96,0.736662,4.454921052031989
93,90,0.742282,4.163058071225137
92,87,0.747789,3.8872412384868227
89,86,0.753137,3.6584583351899638
74,64,0.758363,3.474687237467772
74,56,0.763497,3.309602838018968
70,54,0.768687,3.1527281216360517
67,54,0.773684,3.015177892857774
54,53,0.778589,2.8892195961356935
54,52,0.783378,2.771537516965036
50,39,0.788048,2.6686702649656526
50,39,0.79276,2.575516309592743
50,39,0.797192,2.496913336752002
39,33,0.801676,2.412179060527218
39,33,0.805961,2.3486000237065743
33,32,0.81018,2.285359814561163
33,32,0.814239,2.2282610451063465
33,32,0.818126,2.1723995733309875
32,27,0.822013,2.117609713068932
32,27,0.825769,2.075686875469922
32,27,0.829498,2.033501073301193
27,24,0.833237,1.986519791560478
27,24,0.836852,1.943554318778042
27,24,0.840462,1.9039789893316952
22,22,0.843991,1.864693703568384
22,22,0.847353,1.8285521497310788
21,20,0.850739,1.797040084147902
20,20,0.854001,1.762128507729505
20,20,0.857231,1.733478556269218
20,19,0.860322,1.7041194747920216
20,19,0.863415,1.6750228795255702
20,19,0.866318,1.6523540940440749
19,18,0.869129,1.6277861405506187
19,18,0.87195,1.6071612651308083
19,18,0.874743,1.5856039981797425
19,17,0.877446,1.5627315305905969
19,17,0.880084,1.5446562593815671
19,15,0.882676,1.5257492073233099
17,14,0.885287,1.5071700679086066
16,14,0.887852,1.4881585048328994
13,13,0.890388,1.4708699777396634
13,11,0.892832,1.454771946849806
13,11,0.895185,1.4407479845441968
13,11,0.897573,1.4267331855858318
13,11,0.899802,1.4148286392941976
13,10,0.902003,1.4036348051470964
13,9,0.904138,1.3926581961569757
13,9,0.90622,1.3830347622094263
13,9,0.908285,1.3717058278362317
12,9,0.9103,1.358907469342252
12,9,0.91224,1.3456700091157703
12,9,0.914169,1.3339585930491313
12,9,0.915989,1.3253145421432908
12,9,0.917762,1.3161312288722975
12,9,0.919515,1.3065415916009193
12,9,0.921357,1.2947242602647406
9,7,0.923104,1.2869720141489804
9,7,0.924789,1.2799457526159737
9,7,0.92649,1.2720310161882737
9,7,0.928187,1.264645676966566
9,7,0.929781,1.2571526225095773
9,7,0.93135,1.2502112163146395
9,7,0.932807,1.2433735656988079
9,7,0.934225,1.2362751805397187
9,7,0.935665,1.2288489935493898
9,7,0.937063,1.221316554649888
