s1,s2,frac_Gd,sus
923536,9,0.007692,0.08673919791032624
910615,10,0.015384,0.09627611170243018
897693,10,0.023076,0.10577793154841114
884251,10,0.030768,0.11670374069366261
870960,10,0.03846,0.12805915510535182
857465,10,0.046152,0.14044480881649907
843350,14,0.053844,0.1550780209606027
828590,14,0.061536,0.1724008592764347
812973,14,0.069228,0.19320198716764148
796320,14,0.07692,0.21854660484465052
780549,15,0.084612,0.24261733822160658
763639,18,0.092304,0.273735920396256
746304,30,0.099996,0.3083741850036222
728072,30,0.107688,0.34732918530738127
708567,31,0.11538,0.3975322737446587
687896,33,0.123072,0.4547853415559772
665314,33,0.130764,0.5277991247486298
640869,34,0.138456,0.6227203717976099
614515,33,0.146148,0.7272325883174133
585114,51,0.15384,0.887456273045287
552808,51,0.161532,1.0833281651774427
515860,69,0.169224,1.395160669061215
473747,79,0.176916,1.8539893862594827
437480,106,0.184608,2.351747380401083
398875,142,0.1923,2.915672898353349
357640,176,0.199992,3.73080019199808
311780,283,0.207684,4.971130205625029
263499,262,0.215376,6.568326994840841
208212,312,0.223068,9.250196928431317
143777,862,0.23076,16.543103582757006
78658,1767,0.238452,34.02814267780889
18415,3667,0.246144,74.71965866160116
1405,1358,0.253836,39.914567038881536
679,659,0.261528,20.156297056625032
401,395,0.26922,13.146704890664768
299,259,0.276912,9.63146256057354
268,215,0.284604,7.788201220023596
164,131,0.292296,6.513115652871822
98,90,0.299988,5.57539870745073
89,73,0.30768,4.898282586087358
86,68,0.315372,4.365632138913395
67,58,0.323064,3.9298471347365185
58,48,0.330756,3.5736711871903224
45,44,0.338448,3.2638900645754227
43,40,0.34614,3.0823035512189154
40,32,0.353832,2.9543183815973553
40,29,0.361524,2.8395711036906635
40,29,0.369216,2.725211799918831
40,28,0.376908,2.6186630545730005
28,27,0.3846,2.525534611634709
26,25,0.392292,2.436805176170134
25,24,0.399984,2.3527989253619905
23,22,0.407676,2.2739767424585193
23,20,0.415368,2.2001789159676512
18,18,0.42306,2.1328734357125523
17,17,0.430752,2.0675610630164707
17,17,0.438444,2.0065728084109153
17,17,0.446136,1.9499209192148252
17,17,0.453828,1.8952546084383675
17,17,0.46152,1.842428688159263
17,17,0.469212,1.7931735457470779
17,15,0.476904,1.7464996864820224
16,12,0.484596,1.7007551357769828
14,12,0.492288,1.6575893419891592
14,11,0.49998,1.6176552937882485
11,11,0.507672,1.579449066476008
11,11,0.515364,1.543292285344052
11,11,0.523056,1.508619460565601
10,10,0.530748,1.4753096417276859
10,10,0.53844,1.4436042984660715
9,8,0.546132,1.4124437060995707
8,8,0.553824,1.3835481962274976
8,7,0.561516,1.3563870061393346
7,7,0.569208,1.3370141506806068
7,6,0.5769,1.3237792484046325
7,6,0.584592,1.3105404806840504
7,6,0.592284,1.2978323146503938
6,6,0.599976,1.2857878527288362
6,6,0.607668,1.2736916693004905
6,6,0.61536,1.2615432612312811
6,6,0.623052,1.2498434797372582
6,6,0.630744,1.238214138700522
6,6,0.638436,1.2267758958303372
6,6,0.646128,1.214919518922096
6,6,0.65382,1.20325264313363
6,6,0.661512,1.1921072534329133
6,6,0.669204,1.1808909418493574
6,5,0.676896,1.1698029117559672
6,5,0.684588,1.1595944352148935
6,5,0.69228,1.1492005719485245
5,5,0.699972,1.1395503086378604
4,4,0.707664,1.1300763505007936
4,4,0.715356,1.120466266634814
4,4,0.723048,1.1110589560645887
4,4,0.73074,1.1020426353710169
4,4,0.738432,1.0928401027648642
4,4,0.746124,1.0848209362050765
4,4,0.753816,1.0763087771747961
4,4,0.761508,1.0688324975261225
3,3,0.7692,1.061598786828423
3,3,0.776892,1.0541307348907256
3,3,0.784584,1.0471784825639692
3,2,0.792276,1.0405875103502724
2,2,0.799968,1.037843944968805
2,2,0.80766,1.035094104190496
2,2,0.815352,1.0326134049651228
2,2,0.823044,1.0300752729492078
2,2,0.830736,1.0276727478967767
2,2,0.838428,1.025524224494343
2,2,0.84612,1.023394853132311
2,2,0.853812,1.0206309683421348
2,2,0.861504,1.0184842883548983
2,2,0.869196,1.0159475245405338
2,2,0.876888,1.0136786015985444
2,2,0.88458,1.0118177092358343
2,2,0.892272,1.0096910738155354
2,2,0.899964,1.0075772721820144
2,2,0.907656,1.0057827254613185
2,2,0.915348,1.0043235836129094
2,2,0.92304,1.0027286902286903
2,2,0.930732,1.001645781601894
2,2,0.938424,1.0003897622450306
2,1,0.946116,0.9999628832306436
0,1,0.953808,0.9999783512296502
0,1,0.9615,0.999974025974026
0,1,0.969192,0.999967540898468
0,1,0.976884,0.9999567399204015
0,1,0.984576,0.9999351659751037
0,1,0.992268,0.9998706673564408
0,1,0.99996,0.975
