s1,s2,frac_Gd,sus
968895,6,0.019968,0.015447454776986873
947154,7,0.039495,0.019451226177896002
925533,7,0.058725,0.023763512257310562
904128,10,0.077451,0.029230967677597613
882733,9,0.095829,0.03568793956010533
861262,13,0.113936,0.04375530435724733
839876,13,0.131672,0.05256539003694456
818857,13,0.148766,0.06272423328955376
797658,11,0.165761,0.07438036342103402
775841,11,0.182515,0.08996862327749133
754288,14,0.198744,0.10771838214004013
732678,15,0.214827,0.12688286530484363
710858,15,0.230584,0.15158769768239808
689393,15,0.245983,0.17709149793704917
667510,16,0.261207,0.2064786753529067
645673,18,0.275956,0.2412905845501102
623757,20,0.290492,0.2819460809462332
601163,22,0.304892,0.3306896194548185
578710,43,0.318787,0.38949491568716393
555867,43,0.332462,0.4518798929798753
533196,43,0.345844,0.5233950311546481
510326,43,0.358936,0.6085632635743077
487587,43,0.371759,0.695096308582216
463782,51,0.384437,0.8291612718763148
439436,51,0.39682,0.9668589807354355
415272,66,0.408838,1.1340377087837175
390809,52,0.420887,1.305123525115133
365870,70,0.432666,1.5397596477559956
340540,73,0.444119,1.8352507101340034
314589,96,0.455282,2.2208133382777877
288385,95,0.466123,2.67236086214615
263431,94,0.476837,3.122789646821354
237247,153,0.487403,3.760478504556211
209493,308,0.49771,5.005194210515837
181194,300,0.507861,6.548265835465184
151993,276,0.517767,8.67688026327522
125713,352,0.527307,10.447415129904611
100688,582,0.536744,13.420635674443504
68710,745,0.54615,20.105074363776577
35353,3008,0.555256,63.25046993326498
12198,3897,0.564163,79.04442027638773
5818,2938,0.572879,50.25675862343458
3543,1430,0.58137,28.7973126627332
1596,978,0.589726,21.684883760608763
1430,385,0.597849,16.098701731439185
359,315,0.6059,13.630948997716315
261,238,0.613763,11.44274629307912
254,198,0.62142,9.723493052987479
214,190,0.628969,8.514132242319375
160,159,0.636478,7.617107080176716
153,150,0.643731,6.834027097502168
150,134,0.650966,6.2280236309356685
134,118,0.657936,5.751800832592731
110,108,0.664621,5.334367983684131
110,106,0.671249,4.9982174959163626
85,80,0.677728,4.712407531526164
81,70,0.684326,4.410198495916673
81,70,0.690588,4.182814499760837
81,53,0.696834,3.965461166489646
79,50,0.702868,3.7783846909790935
47,46,0.70892,3.6090456231963723
44,44,0.714695,3.452715514975202
43,41,0.720342,3.3140514485550208
38,37,0.725776,3.1934768656281
37,34,0.73125,3.0746827906976746
37,32,0.736701,2.985525960979723
36,31,0.741911,2.885930822313233
36,31,0.746898,2.8026803423125854
36,30,0.75185,2.716558533145275
35,24,0.756744,2.63710247640346
34,24,0.761592,2.559855373980739
34,24,0.766359,2.495542306358901
24,24,0.771113,2.4277700349954343
24,24,0.775668,2.3735178217998323
24,21,0.780261,2.31156508403151
21,19,0.784655,2.2604471893937634
21,19,0.788915,2.215467702584267
19,19,0.793154,2.170837241232608
19,18,0.797239,2.130222281405201
19,18,0.801326,2.0885420336833205
19,18,0.805215,2.0509279461970893
19,18,0.808946,2.0171103457661186
19,18,0.812783,1.9832600671947527
19,17,0.816483,1.9483753548717557
19,16,0.820115,1.9136781832837646
19,16,0.823778,1.8812917796869857
16,15,0.827263,1.8511783810069644
15,13,0.830735,1.8213924910643073
15,13,0.834179,1.7940791576458952
15,13,0.837438,1.7711088692314316
15,13,0.840703,1.7476663088444855
15,13,0.843918,1.7281621199113286
15,13,0.847018,1.7069655253559242
13,12,0.850056,1.6820879795123513
13,11,0.853044,1.6617695092408613
13,11,0.855951,1.6437739935716318
13,11,0.858871,1.6244003712915134
13,11,0.861725,1.6043825709636594
13,11,0.864549,1.5871717447637892
13,11,0.867213,1.5703344453899855
13,11,0.869824,1.5547643190757128
13,11,0.872494,1.5382256521261743
13,11,0.875111,1.5221036280216833
13,10,0.877689,1.5063730980860266
13,10,0.880062,1.4933799129550267
13,10,0.882436,1.4804957299853696
13,10,0.884783,1.4657385628856854
10,9,0.887115,1.4515214598928112
10,9,0.889426,1.4386745527881781
10,9,0.89166,1.4270814103747462
10,9,0.893851,1.4157552120133021
9,9,0.896055,1.403145894463418
9,8,0.898107,1.3942861629356285
9,8,0.900134,1.3845252638535637
8,8,0.902093,1.3744778207891162
8,8,0.904051,1.364381077447394
8,8,0.905923,1.3542204789693548
8,8,0.907873,1.3443507332269584
8,8,0.909744,1.3343378833540152
8,8,0.911638,1.325864059210973
8,8,0.91337,1.3170033475701257
8,8,0.915165,1.3091176990628868
8,8,0.916834,1.3012769641440012
8,8,0.918548,1.2938908805185876
8,8,0.920144,1.2858896012823082
8,7,0.9218,1.2776214833759592
7,7,0.923361,1.2708934093607693
7,7,0.924857,1.2642029197663123
7,7,0.926349,1.2570094092408792
7,7,0.927803,1.2502458550909317
