s1,s2,frac_Gd,sus
981836,6,0.007692,0.01415689483507137
972581,6,0.015384,0.016760848899469438
963128,7,0.023076,0.019886910343076842
953237,10,0.030768,0.024176874061112304
943316,10,0.03846,0.028554194313289098
933001,10,0.046152,0.03393307948436229
922344,10,0.053844,0.04024494903588837
911458,12,0.061536,0.047582006342278445
900778,14,0.069228,0.054825456717649435
889625,14,0.07692,0.06373120422931923
878361,15,0.084612,0.07341477056723487
866698,15,0.092304,0.08389372653399375
854398,15,0.099996,0.09787289834267403
841467,18,0.107688,0.11580366508575476
828150,18,0.11538,0.13495964368881555
814336,18,0.123072,0.15702543424317617
799812,18,0.130764,0.18438490812621658
784554,21,0.138456,0.216307002312128
768264,22,0.146148,0.25579842876751474
750594,25,0.15384,0.308291576061265
732256,25,0.161532,0.36781844983946915
712553,34,0.169224,0.44109242443209723
691111,36,0.176916,0.5331497149744133
667843,41,0.184608,0.6586807327027981
643594,60,0.1923,0.7979224959762288
616811,60,0.199992,0.9761864881351187
586712,89,0.207684,1.2373017836317832
553436,70,0.215376,1.5637247904728888
516881,75,0.223068,2.0098991932369885
474932,135,0.23076,2.709807082315012
427217,192,0.238452,3.7262641356815327
373886,172,0.246144,5.211830906698362
313169,211,0.253836,7.484079907366209
241252,809,0.261528,13.2590809130204
150734,884,0.26922,26.364117791948328
45634,3371,0.276912,99.88508176044962
1804,1341,0.284604,58.372288914111905
811,616,0.292296,28.200613533341624
533,463,0.299988,20.640210453535083
519,402,0.30768,17.212302114629072
365,294,0.315372,14.454820720157516
291,254,0.323064,12.599434806244608
206,199,0.330756,10.876565198940895
196,175,0.338448,9.6870631484751
148,133,0.34614,8.693906952558653
138,133,0.353832,7.8888152926174
138,129,0.361524,7.271173857748765
138,114,0.369216,6.747472985998376
128,97,0.376908,6.263267703645689
118,97,0.3846,5.793441663958401
98,87,0.392292,5.425223956242142
96,80,0.399984,5.090147596064105
93,71,0.407676,4.778933489103936
93,70,0.415368,4.522166080542974
76,70,0.42306,4.264408777342531
74,61,0.430752,4.044279470459273
66,50,0.438444,3.838886949832252
61,47,0.446136,3.655332355957419
61,41,0.453828,3.486493265857642
41,41,0.46152,3.3321070420442727
41,37,0.469212,3.1884839144818646
31,31,0.476904,3.0497748023307385
31,29,0.484596,2.929979200782299
31,29,0.492288,2.817879033782932
31,29,0.49998,2.7134654613815448
24,23,0.507672,2.614821826099673
24,23,0.515364,2.5227263348162334
24,23,0.523056,2.4331326109564224
23,21,0.530748,2.3543959322496226
18,18,0.53844,2.2739232169165438
18,16,0.546132,2.2011289626058677
16,16,0.553824,2.1345881445886823
16,15,0.561516,2.069197507776795
16,15,0.569208,2.0098934056342737
15,14,0.5769,1.9490025998581895
13,13,0.584592,1.8930617609675306
12,12,0.592284,1.8394961198481297
12,11,0.599976,1.7880677159370437
11,11,0.607668,1.7416652223117155
11,10,0.61536,1.6981671173044925
11,10,0.623052,1.6554246209026178
10,10,0.630744,1.6128864527590614
10,10,0.638436,1.5745206934318683
9,8,0.646128,1.537468350137903
8,8,0.65382,1.5016349875787163
8,8,0.661512,1.4667403275743895
8,7,0.669204,1.4336146749053797
7,7,0.676896,1.4043992027334853
7,7,0.684588,1.3901975828440263
7,7,0.69228,1.375370466658001
7,7,0.699972,1.3614362659485115
7,7,0.707664,1.3473845164468283
7,6,0.715356,1.3327068197467713
7,6,0.723048,1.3181887114012536
7,6,0.73074,1.3048911832429622
7,6,0.738432,1.2915379557132372
6,6,0.746124,1.2775370653389844
6,6,0.753816,1.263623956065382
6,6,0.761508,1.2517568723479193
6,6,0.7692,1.2383795493934142
6,6,0.776892,1.2249045305412625
6,6,0.784584,1.2121940802911575
6,6,0.792276,1.1999094952918294
6,6,0.799968,1.188969764837626
6,6,0.80766,1.1775917645835499
6,5,0.815352,1.165872362549283
6,5,0.823044,1.1536201089536382
5,5,0.830736,1.1418080631439644
5,5,0.838428,1.1304248260837273
5,4,0.84612,1.119970106576553
4,4,0.853812,1.1089419104167237
4,4,0.861504,1.0982699861367837
4,4,0.869196,1.0872603284303233
4,4,0.876888,1.077734095782702
4,4,0.88458,1.0680644602321954
4,3,0.892272,1.058721966433982
3,3,0.899964,1.0491323123675478
3,3,0.907656,1.0406848306332843
3,3,0.915348,1.0320016065775173
3,2,0.92304,1.024181392931393
2,2,0.930732,1.0196050124155454
2,2,0.938424,1.0168247369104846
2,2,0.946116,1.0135847375844407
2,2,0.953808,1.0116903359889158
2,2,0.9615,1.0097142857142858
2,2,0.969192,1.0067514931186705
2,2,0.976884,1.0032012458902924
2,2,0.984576,1.0010373443983402
0,1,0.992268,0.9998706673564408
0,1,0.99996,0.975
