s1,s2,frac_Gd,sus
868799,12,0.018437,0.2730767154018642
839036,16,0.036682,0.29468981167174285
803387,16,0.054605,0.32927612267888023
769852,15,0.072396,0.3605654999331611
737760,15,0.09,0.3921054945054945
706943,15,0.107341,0.42243006568017577
676974,15,0.124293,0.4546851857984463
648131,15,0.141185,0.48483084249809333
618099,15,0.157824,0.5199851337487651
590424,15,0.174167,0.5536797391240118
563567,16,0.19039,0.5871431924012797
538763,17,0.206241,0.6180339372529949
514965,18,0.221765,0.6473057623982473
492138,18,0.236733,0.6783510881513284
470248,16,0.251578,0.7068071221850774
446476,21,0.26614,0.7439348104543101
424368,21,0.280866,0.7786476512026965
403704,21,0.295181,0.8121021141598056
384053,18,0.309146,0.8440669084929667
364812,19,0.323007,0.8769056696302621
345426,20,0.336445,0.9152474173203426
327047,23,0.349741,0.9520606404524966
310204,23,0.36271,0.9827456887759105
293047,26,0.375606,1.022855760945813
276504,28,0.388142,1.0630146210395222
260011,26,0.400575,1.1056662635025232
244537,26,0.412729,1.146574579708516
229984,34,0.42463,1.1887203017188939
215713,32,0.436354,1.2362209613835635
202036,32,0.447728,1.2784823420343598
189119,25,0.459098,1.3185623273716867
176781,32,0.470122,1.3645046595631447
165230,46,0.481042,1.4155789100466705
154077,46,0.491547,1.4691151394524173
142839,47,0.502031,1.5254082081414706
132996,54,0.512263,1.5832733624883903
123052,50,0.522519,1.6271872598071966
114156,50,0.532268,1.6786151043760102
104690,53,0.541979,1.7576770497422607
95657,53,0.551638,1.8318211623643395
87719,108,0.560829,1.941289383861867
79407,112,0.570023,2.030169055554134
71853,108,0.578975,2.0931726144528233
64653,152,0.587859,2.2692379549717208
57866,123,0.596394,2.380261938623311
51437,121,0.604608,2.5116163200064747
45036,154,0.612821,2.6763460828195744
39078,151,0.620957,2.906248103777144
34071,127,0.628768,2.941532518748384
28220,228,0.636591,3.242294494632769
24343,222,0.644208,3.367903156900661
19937,213,0.651714,3.651398563249743
16237,208,0.659023,4.006158773172384
12200,416,0.666181,4.7396073920298125
10332,364,0.673375,4.2455323383084576
7112,786,0.680181,7.056869666905343
4244,1148,0.686951,9.802890282351964
2689,882,0.693489,8.06255566684393
1170,792,0.700065,7.179532231983597
619,467,0.70627,5.137524256970687
384,244,0.712573,3.941846103532375
368,143,0.718617,3.436451384767381
354,124,0.72448,3.067646631823461
243,101,0.730358,2.8458289138932362
238,94,0.736133,2.642213690988263
92,81,0.741758,2.4887276275741357
80,76,0.747191,2.3472938067869418
79,59,0.752434,2.2149850948837884
59,53,0.757643,2.121077583894833
59,51,0.762707,2.0394954760570267
59,50,0.767776,1.962695500895687
58,49,0.772718,1.9000272788870214
55,49,0.777408,1.838381433294997
55,49,0.782127,1.7932740633304722
55,49,0.78663,1.7564465482495195
45,40,0.791137,1.713142107505877
45,40,0.795417,1.674850794054247
43,38,0.799767,1.6394500407025816
40,35,0.803926,1.61165682344421
40,35,0.807961,1.5881721941897218
40,32,0.812059,1.561144188867783
40,30,0.816012,1.5317846816096703
40,30,0.81981,1.5094067373328153
39,30,0.823641,1.489745348975669
36,22,0.827379,1.467150578434837
33,21,0.831006,1.444483236091222
33,21,0.834586,1.4261005718983883
31,20,0.838023,1.4062737302209574
31,18,0.841392,1.3904027539594472
31,18,0.844794,1.3733554115175959
29,18,0.848065,1.3598709974660217
28,16,0.851302,1.3447121010370011
28,16,0.854504,1.330771979985704
28,14,0.857657,1.3165311957735892
22,14,0.860688,1.3049127139083496
21,14,0.863683,1.2961552851075067
21,14,0.866606,1.2882213592815268
21,14,0.869441,1.2784411645309783
15,14,0.872238,1.2693210813857014
14,12,0.875022,1.2614220102738083
14,11,0.877617,1.2538914718547511
14,11,0.880148,1.246904515569202
14,11,0.882662,1.2364110518331657
11,10,0.885123,1.229419291938334
11,10,0.887521,1.222165915415322
10,9,0.889956,1.2153683980953074
9,8,0.892298,1.208807635884199
9,8,0.894664,1.202162603478393
9,8,0.896908,1.1968241958638886
9,8,0.899106,1.1901897040458302
9,8,0.901255,1.186834776444377
9,8,0.903329,1.182195280901201
8,7,0.905342,1.1775866804707473
8,7,0.907293,1.1733418188486306
8,7,0.909265,1.1690417148840029
8,7,0.911212,1.163941073117989
8,7,0.913082,1.1592075289353183
8,7,0.914916,1.1553053453058155
7,7,0.916748,1.151599961562485
7,7,0.91855,1.1488643339472069
7,7,0.920299,1.1454812361199984
7,7,0.922057,1.1417061185738295
7,7,0.923663,1.1376658763116183
7,6,0.925247,1.1344026326702608
7,6,0.926854,1.130820550679463
7,6,0.928429,1.1277752162188597
7,6,0.929948,1.1243504824987152
7,6,0.931507,1.1204940650869433
7,6,0.932921,1.117607597012478
7,6,0.934401,1.114498696626473
